Токарь,63000,65000,RUR,Новокузнецк,2022-12-26T04:53:29+0300
Сервисный инженер центра инжинирингового сервиса УГОК,,,,Воркута,2022-12-26T04:53:04+0300
Сервисный инженер центра инжинирингового сервиса УГОК,,,,Кемерово,2022-12-26T04:53:04+0300
Инженер-руководитель по погрузо-разгрузочным работам,35000,50000,RUR,Омск,2022-12-26T04:10:40+0300
Фрезеровщик,,,,Барнаул,2022-12-26T04:17:03+0300
Интегратор/разработчик Bitrix24,30000,,RUR,Иркутск,2022-12-26T04:57:32+0300
Сервисный инженер центра инжинирингового сервиса УГОК,,,,Удачный,2022-12-26T04:53:04+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Нижний Новгород,2022-12-26T04:53:04+0300
Механик по сервису (Дистрибьютор строительной техники Сase),50000,160000,RUR,Новосибирск,2022-12-26T04:39:02+0300
Директор парка,,,,Красноярск,2022-12-26T04:52:17+0300
Технический специалист,40000,,RUR,Красноярск,2022-12-26T04:48:30+0300
Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Иркутск,2022-12-26T04:53:04+0300
Менеджер группы по операционной эффективности и цифровизации,,,,Томск,2022-12-26T04:50:42+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Череповец,2022-12-26T04:53:04+0300
Руководитель центра мониторинга и реагирования на инциденты Security Operation Center (SOC),,,,Новосибирск,2022-12-26T04:59:32+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Мирный (Республика Саха (Якутия)),2022-12-26T04:53:04+0300
Старший специалист по банковским картам,34000,,RUR,Владивосток,2022-12-26T04:47:15+0300
Техник ОПС,50000,50000,RUR,Красноярск,2022-12-26T04:52:19+0300
Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Айхал,2022-12-26T04:53:04+0300
Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Новокузнецк,2022-12-26T04:53:04+0300
Ведущий инженер-программист,90000,,RUR,Владивосток,2022-12-26T04:35:20+0300
Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Томск,2022-12-26T04:53:04+0300
Токарь,,,,Ачинск,2022-12-26T04:49:19+0300
Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Кемерово,2022-12-26T04:53:04+0300
Специалист по обучению 1С,70000,90000,RUR,Владивосток,2022-12-26T04:17:47+0300
Директор ресторана,,,,Красноярск,2022-12-26T04:52:18+0300
HTML-верстальщик (Новосибирск),40000,,RUR,Новосибирск,2022-12-26T05:22:33+0300
Дизайнер,,34500,KGS,Бишкек,2022-12-26T05:27:22+0300
Главный специалист (Пресс-служба),70000,,RUR,Омск,2022-12-26T05:22:17+0300
Графический дизайнер,30000,35000,RUR,Кемерово,2022-12-26T05:48:18+0300
Специалист технической поддержки информационных систем,,45000,RUR,Барнаул,2022-12-26T05:49:01+0300
Инженер-механик,85000,,RUR,Красноярск,2022-12-26T05:28:53+0300
Junior project manager в web-студию,45000,70000,RUR,Москва,2022-12-26T05:07:13+0300
Продуктовый аналитик,80000,,RUR,Новосибирск,2022-12-26T05:33:13+0300
Системный администратор,,,,Новосибирск,2022-12-26T05:36:15+0300
Специалист-аналитик,35000,35000,RUR,Красноярск,2022-12-26T05:47:22+0300
Системный администратор,75000,95000,RUR,Новосибирск,2022-12-26T05:59:27+0300
SQL-разработчик,140000,,RUR,Новосибирск,2022-12-26T05:37:38+0300
Менеджер строительного проекта,,,,Хабаровск,2022-12-26T05:27:20+0300
Продуктовый аналитик,80000,,RUR,Томск,2022-12-26T05:33:15+0300
Контролёр технического состояния транспортных средств,45000,45000,RUR,Новосибирск,2022-12-26T05:23:42+0300
Инженер-программист,,,,Москва,2022-12-26T05:41:19+0300
Техник связи,,,,Норильск,2022-12-26T05:57:03+0300
Системный администратор,55000,,RUR,Барнаул,2022-12-26T05:41:45+0300
Программист Python,,,,Новосибирск,2022-12-26T05:22:23+0300
Мастер по ремонту компьютеров,50000,150000,RUR,Чита,2022-12-26T05:20:53+0300
Аналитик,,,,Новосибирск,2022-12-26T05:33:18+0300
Системный администратор,50000,,RUR,Новосибирск,2022-12-26T05:24:50+0300
Рабочий по обслуживанию зданий и сооружений (Амурский поселок),,,,Омск,2022-12-26T05:51:18+0300
"Монтажник слаботочных систем (охранно-пожарная сигнализация, видеонаблюдение, г.Темиртау)",250000,250000,KZT,Темиртау,2022-12-26T05:03:54+0300
Инженер по оборудованию,55000,70000,RUR,Новосибирск,2022-12-26T05:59:19+0300
Менеджер строительного проекта,,,,Владивосток,2022-12-26T05:27:20+0300
Оператор станка с ЧПУ,45000,60000,RUR,Новосибирск,2022-12-26T05:37:20+0300
Менеджер продукта,,,,Новосибирск,2022-12-26T05:52:21+0300
Аккаунт-менеджер / BDM / по рекламодателям CPA / affiliate,,,,Москва,2022-12-26T05:51:32+0300
Специалист технической поддержки второй линии,,,,Новосибирск,2022-12-26T05:09:01+0300
Руководитель отдела продуктового дизайна,,,,Иркутск,2022-12-26T05:58:28+0300
Консультант 1C,,45000,RUR,Барнаул,2022-12-26T05:49:00+0300
Токарь,300000,300000,KZT,Усть-Каменогорск,2022-12-26T05:23:34+0300
Java разработчик (Middle/Senior),200000,,RUR,Новосибирск,2022-12-26T05:33:24+0300
Гибщик металла,54000,,RUR,Красноярск,2022-12-26T05:30:15+0300
Разработчик ‎Android,,380000,RUR,Новосибирск,2022-12-26T05:22:33+0300
Ведущий системный администратор,110000,130000,RUR,Владивосток,2022-12-26T05:19:10+0300
Инженер электросвязи,36000,,RUR,Тында,2022-12-26T05:00:14+0300
Технический писатель,,,,Новосибирск,2022-12-26T05:37:20+0300
Монтажник систем пожарной сигнализации и оповещения людей о пожаре,45000,75000,RUR,Новосибирск,2022-12-26T05:23:55+0300
Токарь-универсал,54000,,RUR,Красноярск,2022-12-26T05:30:15+0300
Менеджер по проектам,60000,,RUR,Красноярск,2022-12-26T05:03:30+0300
Системный администратор,70000,,RUR,Владивосток,2022-12-26T05:30:16+0300
Оператор технической поддержки,27000,32000,RUR,Красноярск,2022-12-26T05:41:47+0300
Токарь,35000,,RUR,Омск,2022-12-26T05:30:58+0300
"Сервис-менеджер, г. Славгород",25000,25000,RUR,Славгород (Алтайский край),2022-12-26T05:16:34+0300
Бизнес-аналитик,,,,Москва,2022-12-26T05:50:59+0300
Маркетолог-аналитик,,,,Владивосток,2022-12-26T05:37:42+0300
Руководитель проекта,,,,Алматы,2022-12-26T05:48:56+0300
Java программист / Java developer,,,,Новосибирск,2022-12-26T05:20:02+0300
Техник по обслуживанию кафе,50000,50000,RUR,Новосибирск,2022-12-26T05:04:02+0300
Автор по информационной безопасности,,50000,RUR,Москва,2022-12-26T05:31:43+0300
Аналитик отдела продаж,45000,45000,RUR,Новосибирск,2022-12-26T05:26:19+0300
Руководитель отдела продуктового дизайна,,,,Красноярск,2022-12-26T05:59:56+0300
Actuary,,,,Астана,2022-12-26T05:11:01+0300
Инженер-программист АСУ,75000,,RUR,Новосибирск,2022-12-26T05:13:48+0300
Пишущий редактор в IT,,,,Омск,2022-12-26T05:22:17+0300
Руководитель службы заказчика (жилищное строительство),,,,Новосибирск,2022-12-26T05:16:02+0300
Токарь,29000,,RUR,Красноярск,2022-12-26T05:52:10+0300
Фрезеровщик на гидрофрезерный станок,40000,55000,RUR,Омск,2022-12-26T05:56:21+0300
Монтажник систем видеонаблюдения (ул.Алексеева),40000,,RUR,Красноярск,2022-12-26T05:40:26+0300
Помощник системного администратора,28500,32000,RUR,Находка,2022-12-26T05:51:29+0300
Механик по эксплуатации климатического оборудования,39300,39300,RUR,Красноярск,2022-12-26T05:28:18+0300
Фрезеровщик ЧПУ,60000,60000,RUR,Красноярск,2022-12-26T05:30:15+0300
Главный специалист,54000,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
Токарь-универсал,50000,60000,RUR,Челябинск,2022-12-26T05:53:19+0300
Бизнес-аналитик,150000,,RUR,Москва,2022-12-26T05:15:52+0300
Middle QA Mobile Engineer Android/iOS,45000,70000,RUR,Новосибирск,2022-12-26T05:22:33+0300
Технический специалист домофонии(без опыта),35000,,RUR,Красноярск,2022-12-26T05:41:40+0300
Backend разработчик (PHP),100000,,RUR,Новосибирск,2022-12-26T05:33:28+0300
Специалист техподдержки 1С,50000,70000,RUR,Владивосток,2022-12-26T05:10:32+0300
Дизайнер корпусной мебели,50000,,RUR,Кемерово,2022-12-26T05:56:42+0300
QA Automation,,,,Санкт-Петербург,2022-12-26T05:46:02+0300
Наладчик оборудования с ЧПУ,40000,58000,RUR,Барнаул,2022-12-26T05:26:10+0300
Наладчик ОПС/техник ОПС,,,,Новосибирск,2022-12-26T05:23:55+0300
DevOps-инженер,,,,Новосибирск,2022-12-26T05:59:00+0300
Middle Frontend developer (Vue.js/Nuxt),126000,193000,RUR,Новосибирск,2022-12-26T05:22:33+0300
"Сервис-менеджер, г. Бийск",25000,30000,RUR,Бийск,2022-12-26T05:16:18+0300
Бизнес-аналитик,,,,Новосибирск,2022-12-26T05:20:02+0300
Программист 1С (УДАЛЕННО),60000,,RUR,Томск,2022-12-26T05:05:54+0300
Ведущий инженер-программист,80000,120000,RUR,Барнаул,2022-12-26T05:26:05+0300
Менеджер по работе с клиентами - Дизайнер мебели,60000,,RUR,Новосибирск,2022-12-26T05:45:14+0300
Senior Java developer,250000,,RUR,Новосибирск,2022-12-26T05:33:20+0300
Системный администратор (Академгородок),,,,Новосибирск,2022-12-26T05:20:02+0300
Токарь на плавочно-расточной станок,55000,,RUR,Белово,2022-12-26T05:27:55+0300
Сетевой инженер и администратор серверного оборудования,,,,Москва,2022-12-26T05:56:11+0300
Продакт-менеджер,44000,,RUR,Томск,2022-12-26T05:56:56+0300
PHP-разработчик / PHP developer,,,,Новосибирск,2022-12-26T05:20:02+0300
1С Разработчик (remote),140000,200000,RUR,Новосибирск,2022-12-26T05:02:52+0300
Фрезеровщик,60000,60000,RUR,Красноярск,2022-12-26T05:30:15+0300
Технический специалист,30000,,RUR,Красноярск,2022-12-26T05:40:52+0300
Actuary,,,,Алматы,2022-12-26T05:11:01+0300
Монтажник систем видеонаблюдения,30000,,RUR,Красноярск,2022-12-26T05:41:00+0300
Автор по информационной безопасности,,50000,RUR,Санкт-Петербург,2022-12-26T05:31:43+0300
Специалист по информационной безопасности,,,,Новосибирск,2022-12-26T05:38:52+0300
Специалист по эксплуатации радиоподсистемы,30000,,RUR,Березники,2022-12-26T05:34:26+0300
"Сервис-менеджер, г. Рубцовск",28000,28000,RUR,Рубцовск,2022-12-26T05:16:08+0300
Руководитель проекта 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
Ведущий специалист (Бизнес-аналитик в ИТ сфере),50000,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
Ученик мастера по ремонту крупно-бытовой техники,90000,110000,RUR,Новосибирск,2022-12-26T05:05:54+0300
Долбежник,35000,90000,RUR,Каменск-Уральский,2022-12-26T05:26:35+0300
Аналитик 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
Senior Frontend developer (Vue.js/Nuxt),194000,280000,RUR,Новосибирск,2022-12-26T05:22:33+0300
Сетевой инженер и администратор серверного оборудования,,,,Волгоград,2022-12-26T05:56:11+0300
Монтажник систем видеонаблюдения,30000,,RUR,Красноярск,2022-12-26T05:40:35+0300
Автор по информационной безопасности,,50000,RUR,Казань,2022-12-26T05:31:44+0300
Дизайнер мебели,,,,Новосибирск,2022-12-26T05:45:30+0300
Плавильщик металла и сплавов,41500,,RUR,Новоалтайск,2022-12-26T05:16:05+0300
Erlang разработчик,,,,Москва,2022-12-26T05:41:02+0300
Автор по информационной безопасности,,50000,RUR,Ростов-на-Дону,2022-12-26T05:31:44+0300
Токарь,50000,,RUR,Новосибирск,2022-12-26T05:01:36+0300
Сервисный инженер (горно-шахтное оборудование),60000,,RUR,Новокузнецк,2022-12-26T05:41:12+0300
Автор по информационной безопасности,,50000,RUR,Новосибирск,2022-12-26T05:31:43+0300
Программист 1С,100000,,RUR,Новосибирск,2022-12-26T05:39:43+0300
Android Developer ( middle++\ senior),250000,,RUR,Новосибирск,2022-12-26T05:20:02+0300
Сетевой инженер и администратор серверного оборудования (Балашиха или Волгоград),,,,Балашиха,2022-12-26T05:56:12+0300
Автор по информационной безопасности,,50000,RUR,Астана,2022-12-26T05:31:43+0300
Ученик мастера по ремонту и обслуживанию бытовой техники,80000,150000,RUR,Новосибирск,2022-12-26T05:05:44+0300
Сервисный инженер (горно-шахтное оборудование),60000,,RUR,Прокопьевск,2022-12-26T05:41:12+0300
Автор по информационной безопасности,,50000,RUR,Омск,2022-12-26T05:31:43+0300
Автор по информационной безопасности,,50000,RUR,Самара,2022-12-26T05:31:43+0300
Сервисный инженер (горно-шахтное оборудование),60000,,RUR,Осинники,2022-12-26T05:41:12+0300
Автор по информационной безопасности,,50000,RUR,Екатеринбург,2022-12-26T05:31:43+0300
Автор по информационной безопасности,,50000,RUR,Челябинск,2022-12-26T05:31:43+0300
Автор по информационной безопасности,,50000,RUR,Нижний Новгород,2022-12-26T05:31:43+0300
Главный механик (Дизельные электростанции),50000,,RUR,Красноярск,2022-12-26T05:37:17+0300
Сетевой инженер и администратор серверного оборудования (Балашиха или Волгоград),,,,Екатеринбург,2022-12-26T05:56:11+0300
Оператор станка с ЧПУ,60000,100000,RUR,Оренбург,2022-12-26T06:46:27+0300
Technical Support Engineer,,,,Кызылорда,2022-12-26T06:55:15+0300
Младший системный администратор,,11500,RUR,Томск,2022-12-26T06:57:58+0300
